Actual_ID,Actual_Label,Predicted_ID,Predicted_Label,Correct
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,2,DDoS,False
0,BENIGN,11,SSH-Patator,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,1,Bot,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,11,SSH-Patator,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,1,Bot,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,11,SSH-Patator,False
0,BENIGN,11,SSH-Patator,False
0,BENIGN,4,DoS Hulk,False
0,BENIGN,14,Web Attack � XSS,False
0,BENIGN,1,Bot,False
0,BENIGN,1,Bot,False
